Gene_ID	1021_a	1021_b	1021_c
SMb20471	8.237521667	8.696005174	8.172277586
SMb20472	123.562825	100.0040595	81.72277586
SMb20473	46.13012134	42.61042535	34.73217974
SMb20474	24.712565	21.74001293	18.38762457
SMb20475	47.77762567	36.52322173	41.88292263
SMb20476	324.5583537	273.924163	334.0418463
SMb20477	52.72013867	60.0024357	61.2920819
SMb20478	110.3827903	129.5704771	130.7564414
SMb20479	126.8578337	106.9608636	123.6056985
SMb20480	97.20275567	93.91685588	96.02426164
SMb20481	448.1211787	426.1042535	422.9153651
SMb20482	375.630988	391.3202328	380.0109078
SMb20483	115.3253033	112.1784667	123.6056985
SMb20484	148.27539	173.9201035	246.1898623
SMb20485	59.310156	73.91604398	90.91658814
SMb20486	36.24509534	33.91442018	36.77524914
SMb20487	36.24509534	47.82802845	55.16287371
SMb20488	110.3827903	136.5272812	155.2732741
SMb20489	118.620312	133.0488792	180.8116416
SMb20490	100.4977643	143.4840854	135.8641149
SMb22020	158.160416	158.2672942	140.9717884
SMb20491	26.36006933	31.30561863	32.68911034
SMb20492	97.20275567	76.52484553	85.80891465
SMb20493	52.72013867	48.69762897	50.05520021
SMb20494	75.78519934	79.13364708	72.52896358
SMb20495	103.792773	105.2216626	114.4118862
SMb20496	154.8654073	128.7008766	155.2732741
SMb20497	70.84268634	80.87284811	79.67970646
SMb20498	64.252669	54.78483259	58.2274778
SMb20499	31.30258233	67.82884035	48.01213082
SMb20500	143.332877	155.6584926	126.6703026
SMb20501	62.60516467	83.48164967	79.67970646
SMb20502	65.90017334	46.08882742	55.16287371
SMb20503	64.252669	60.0024357	61.2920819
SMb20504	141.6853727	95.65605691	107.2611433
SMb20505	79.080208	69.56804139	79.67970646
SMb20506	102.1452687	69.56804139	80.70124116
SMb20507	143.332877	125.2224745	153.2302047
SMb20508	214.1755633	197.3993174	203.285405
SMb20509	235.5931197	222.6177324	208.3930784
SMb20510	349.2709187	371.3194209	336.0849157
SMb20511	189.4629983	194.7905159	197.1561968
SMb22021	69.195182	69.56804139	50.05520021
SMb20513	202.643033	203.4865211	147.1009965
SMb20514	230.6506067	255.6625521	206.350009
SMb20515	1100.532895	1040.042219	1041.965392
SMb20516	39.540104	35.65362121	31.66757565
SMb20517	79.080208	90.43845381	96.02426164
SMb20518	3.295008667	3.478402069	7.150742888
SMb20519	4.942513	5.217603104	12.25841638
SMb20520	9.885026	13.04400776	16.34455517
SMb20521	39.540104	39.13202328	39.83985323
SMb20522	29.655078	53.04563156	28.60297155
SMb20523	326.205858	325.2305935	273.7712991
SMb20525	120.2678163	81.74244863	107.2611433
SMb20527	16.47504333	13.04400776	13.27995108
SMb20528	28.00757367	26.08801552	26.55990215
SMb20529	47.77762567	39.13202328	33.71064504
SMb20530	16.47504333	13.91360828	14.30148578
SMb20531	41.18760834	44.34962639	53.11980431
SMb20532	56.01514734	54.78483259	53.11980431
