Gene_ID	1021_a	1021_b	1021_c
SMc00225	670.5342637	666.9835968	626.20077
SMc00103	958.847522	966.9957753	822.3354321
SMc00104	911.0698964	857.4261101	908.1443467
SMc00105	2856.772514	2678.369593	2614.107293
SMc00042	3031.407973	2772.286449	2644.753334
SMc00106	205.9380417	182.6161086	169.5747599
SMc00043	6837.142984	6662.009564	5686.883665
SMc00107	210.8805547	215.6609283	215.5438213
SMc00044	31.30258233	40.87122432	37.79678384
SMc00045	1357.543571	1093.08785	1082.82678
SMc00086	817.1621494	689.5932103	637.4376517
SMc00108	523.906378	509.5859032	478.0782388
SMc00109	143.332877	138.2664823	120.5410944
SMc00047	69.195182	84.35125018	81.72277586
SMc00110	563.446482	633.0691766	523.0257655
SMc00453	403.6385617	353.9274106	364.6878873
SMc00112	67.54767767	66.95923984	65.37822069
SMc00454	238.8881283	237.4009412	218.6084254
SMc00114	1644.209325	1607.891357	1556.81888
SMc00115	431.6461354	431.3218566	387.1616506
SMc00048	1289.995893	1093.08785	1129.817376
SMc00049	401.9910574	369.5802199	369.7955608
SMc00455	243.8306413	233.0529387	183.8762457
SMc00116	184.5204853	193.9209154	176.7255028
SMc00117	365.745962	305.2297816	394.3123935
SMc00051	1762.829637	1443.536859	1858.171616
SMc00052	181.2254767	173.050503	230.8668418
SMc00053	168.045442	134.7880802	170.5962946
SMc00054	830.342184	671.3315994	786.5817177
SMc00055	260.3056847	254.7929516	235.9745153
SMc00056	163.102929	143.4840854	177.7470375
SMc00057	125.2103293	98.26485846	146.0794619
SMc00058	3571.789395	3505.359685	3266.867965
SMc00118	474.481248	388.7114313	407.5923446
SMc00456	294.9032757	293.0553744	290.1158543
SMc00059	1219.153207	1331.358392	1082.82678
SMc00060	766.089515	780.0316641	697.7081989
SMc00061	126.8578337	110.4392657	97.04579633
SMc00120	509.078839	578.284344	591.4685903
SMc00062	629.3466554	473.0626814	527.1119043
SMc00063	105.4402773	86.09045122	102.1534698
SMc00128	181.2254767	213.9217273	150.1656006
SMc00457	212.528059	286.0985702	216.565356
SMc00122	1645.856829	1633.109772	1464.880757
SMc00064	199.3480243	239.1401423	194.0915927
SMc00123	433.2936397	380.8850266	354.4725403
SMc00065	270.1907107	241.7489438	236.99605
SMc00458	739.7294457	639.1563803	612.920819
SMc00129	639.2316814	659.1571922	589.4255209
SMc00067	790.80208	846.9909039	1028.685441
SMc02361	640.8791857	553.065929	753.8926073
SMc02362	319.6158407	304.3601811	408.6138793
SMc02363	1087.35286	967.8653758	1128.795842
SMc02364	171.3404507	183.4857092	179.7901069
SMc02365	1980.300209	2455.751861	1927.635976
SMc02366	378.9259967	410.4514442	330.9772422
SMc02367	466.2437264	436.5394597	375.924769
SMc02368	1079.115338	1212.223121	1170.678764
SMc02369	2089.035495	1958.340365	1782.578048
SMc02370	2607.99936	2690.544001	2289.259259
SMc02371	507.4313347	486.1066892	440.2814549
SMc02372	550.2664474	531.3259161	532.2195778
SMc02373	1100.532895	1293.96557	1057.288413
SMc02374	2227.425859	2187.914902	1692.682995
SMc02375	583.216534	669.5923984	671.1482968
SMc02376	268.5432063	299.142578	306.4604095
SMc02377	4486.1543	3719.281413	4490.666534
SMc02378	4698.682359	4698.451595	4222.002908
SMc02379	649.1167074	662.6355942	541.4133901
SMc02380	143.332877	135.6576807	154.2517394
SMc02381	100.4977643	126.092075	115.4334209
SMc02382	464.596222	380.8850266	525.0688349
SMc02383	420.113605	474.8018825	411.6784834
SMc02384	401.9910574	469.5842794	414.7430875
SMc02385	242.183137	295.6641759	316.6757565
SMc02386	2209.303311	2490.535882	2201.407275
SMc02387	65.90017334	63.48083777	76.61510237
SMc02388	36.24509534	40.0016238	38.81831853
SMc02389	26.36006933	25.218415	29.62450625
SMc02390	1410.263709	1320.053585	1451.600806
SMc02391	141.6853727	156.5280931	174.6824334
SMc02392	357.5084404	372.1890214	414.7430875
SMc02393	655.7067247	726.116432	785.560183
SMc02409	583.216534	537.4131197	442.3245243
SMc02394	255.3631717	232.1833381	274.7928338
SMc02461	472.8337437	412.1906452	385.1185812
SMc02396	328907.7651	307602.0518	269900.7042
SMc02397	392.1060314	362.6234157	312.5896177
SMc02398	0	0	0
SMc05004	0	0	0
SMc02399	0	0.869600517	0
SMc02400	26.36006933	35.65362121	37.79678384
SMc02401	80.72771234	68.69844087	84.78737995
SMc02403	614.5191164	606.1115606	600.6624026
SMc02404	1131.835477	1282.660763	1262.616887
SMc02405	861.6447664	780.0316641	712.0096847
SMc02406	154.8654073	136.5272812	165.4886211
SMc02422	26.36006933	10.43520621	21.45222866
SMc02407	2121.985581	2121.825262	1782.578048
SMc02408	1181.260607	1316.575183	1102.235939
SMc02659	1532.17903	1653.980184	1413.804022
SMc02658	161.4554247	149.571289	133.8210455
SMc02657	115.3253033	111.3088662	106.2396086
SMc02656	573.331508	651.3307875	482.1643776
SMc02655	663.9442464	709.5940222	667.062158
SMc02654	398.6960487	368.7106194	365.709422
SMc02653	594.7490644	714.8116253	583.2963127
SMc02652	693.5993244	664.3747953	615.985423
SMc02651	757.8519934	871.3397184	737.5480521
SMc02650	125.2103293	160.8760957	146.0794619
SMc02649	29.655078	61.74163673	55.16287371
SMc02648	100.4977643	106.9608636	98.06733103
SMc02647	41.18760834	40.87122432	42.90445733
SMc02646	116.9728077	145.2232864	137.9071843
SMc02645	2624.474403	2043.561216	2068.607764
SMc02644	1738.117072	1880.076319	2193.234997
SMc02642	237.240624	226.0961345	185.9193151
SMc02641	2980.335339	3347.961992	2907.287751
SMc02640	1318.003467	1408.752838	1206.432479
SMc02639	28.00757367	26.95761604	30.64604095
SMc02638	88.965234	66.08963932	66.39975539
SMc02637	113.677799	121.7440724	136.8856496
SMc02636	395.40104	558.2835321	613.9423536
SMc02635	500.8413174	619.1555684	619.0500271
SMc02634	15870.40924	21706.96811	22851.7312
SMc02633	958.847522	1140.915879	1044.008462
SMc02632	131.8003467	160.8760957	171.6178293
SMc02631	540.3814214	557.4139316	555.7148758
SMc02603	3115.430694	2952.293756	2556.90135
SMc02601	359.1559447	333.0569981	292.1589237
SMc02599	479.423761	563.5011353	475.0136347
SMc02598	171.3404507	211.3129257	147.1009965
SMc02597	39.540104	56.52403363	42.90445733
