Gene_ID	1021_a	1021_b	1021_c
SMa2121	80.72771234	90.43845381	74.57203297
SMa2123	90.61273834	76.52484553	69.46435948
SMa2125	88.965234	70.43764191	87.85198405
SMa2127	164.7504333	126.092075	124.6272332
SMa2129	265.2481977	179.1377066	229.8453071
SMa2131	74.137695	71.30724242	79.67970646
SMa2133	191.1105027	152.1800905	128.713372
SMa2135	118.620312	114.7872683	100.1104004
SMa2137	72.49019067	93.04725536	76.61510237
SMa2139	52.72013867	45.2192269	46.99059612
SMa2141	52.72013867	43.48002587	54.14133901
SMa2143	29.655078	26.08801552	30.64604095
SMa2145	125.2103293	108.7000647	143.0148578
SMa5035	4.942513	3.478402069	0
SMa2147	18.12254767	8.696005174	6.12920819
SMa2151	252.068163	220.8785314	173.6608987
SMa2157	11.53253033	14.7832088	28.60297155
SMa2159	11.53253033	21.74001293	27.58143685
SMa2163	79.080208	59.13283518	61.2920819
SMa2165	41.18760834	26.08801552	22.47376336
SMa2167	265.2481977	214.7913278	190.0054539
SMa2168	21.41755633	17.39201035	14.30148578
SMa2169	41.18760834	27.82721656	27.58143685
SMa2171	0	2.608801552	2.043069397
SMa2175	0	0	0
SMa2187	0	0	0
SMa2189	0	0	0
SMa2191	0	0	0
SMa2193	345.97591	280.8809671	280.922042
SMa2195	210.8805547	165.2240983	167.5316905
SMa2197	192.758007	193.9209154	161.4024823
SMa2199	238.8881283	202.6169205	182.854711
SMa2201	60.95766034	65.2200388	80.70124116
SMa2203	67.54767767	86.09045122	64.35668599
SMa2205	112.0302947	92.17765484	67.42129008
SMa2207	115.3253033	140.8752838	113.3903515
SMa2209	184.5204853	154.7888921	133.8210455
SMa2211	489.308787	457.4098721	475.0136347
SMa2213	289.9607627	269.5761604	256.4052093
SMa2215	88.965234	81.74244863	86.83044935
SMa2217	257.010676	268.7065599	229.8453071
SMa2219	97.20275567	119.1352709	105.2180739
SMa2221	128.505338	116.5264693	117.4764903
SMa2223	108.735286	130.4400776	131.7779761
SMa2225	217.470572	215.6609283	188.9839192
SMa2227	581.5690297	541.7611223	451.5183366
SMa2229	70.84268634	56.52403363	49.03366552
SMa2231	683.7142984	593.9371534	537.3272513
SMa2233	342.6809014	344.3618049	275.8143685
SMa2235	326.205858	280.8809671	307.4819442
SMa2237	197.70052	166.0936988	146.0794619
SMa2239	1070.877817	870.4701179	705.8804765
SMa2241	855.054749	691.3324113	466.8413571
SMa2243	263.6006933	258.2713537	254.3621399
SMa2245	1387.198649	1244.39834	1071.589898
SMa2249	153.217903	186.9641112	161.4024823
SMa2251	339.3858927	271.3153614	285.0081808
SMa2253	354.2134317	251.3145495	277.8574379
SMa2255	316.320832	254.7929516	229.8453071
SMa2257	588.159047	612.1987642	612.920819
SMa2259	151.5703987	133.0488792	131.7779761
SMa2263	74.137695	86.96005174	72.52896358
SMa2265	87.31772967	80.0032476	100.1104004
SMa2267	164.7504333	141.7448843	143.0148578
SMa2269	4.942513	2.608801552	13.27995108
SMa2273	74.137695	71.30724242	61.2920819
SMa2275	108.735286	119.1352709	87.85198405
SMa2279	18.12254767	12.17440724	13.27995108
SMa2281	31.30258233	13.04400776	14.30148578
SMa2285	19.770052	26.08801552	32.68911034
SMa2287	135.0953553	155.6584926	152.20867
SMa2289	26.36006933	23.47921397	22.47376336
SMa2291	62.60516467	58.26323466	67.42129008
SMa2293	161.4554247	150.4408895	146.0794619
SMa2294	46.13012134	37.39282225	54.14133901
SMa2295	138.390364	114.7872683	150.1656006
SMa2297	146.6278857	158.2672942	178.7685722
SMa2299	11.53253033	20.87041242	21.45222866
SMa2301	59.310156	44.34962639	61.2920819
SMa2303	133.447851	109.5696652	139.9502537
SMa2305	28.00757367	37.39282225	38.81831853
SMa2307	14.827539	24.34881449	20.43069397
SMa2309	8.237521667	8.696005174	15.32302047
SMa2311	34.597591	32.17521914	42.90445733
SMa2313	102.1452687	113.0480673	140.9717884
SMa2315	217.470572	189.5729128	170.5962946
SMa2317	62.60516467	44.34962639	33.71064504
SMa2319	49.42513	53.91523208	66.39975539
SMa2321	551.9139517	526.108313	525.0688349
SMa2323	164.7504333	153.0496911	136.8856496
SMa2325	102.1452687	75.65524501	90.91658814
SMa2327	378.9259967	346.1010059	393.2908588
SMa2329	14.827539	13.91360828	27.58143685
SMa2331	46.13012134	34.78402069	52.09826961
SMa2333	49.42513	52.17603104	48.01213082
SMa2335	6.590017334	7.826404656	6.12920819
SMa2337	72.49019067	52.17603104	69.46435948
SMa2400	36.24509534	31.30561863	48.01213082
SMa2402	34.597591	44.34962639	41.88292263
SMa2404	52.72013867	44.34962639	43.92599202
SMa2406	18.12254767	23.47921397	17.36608987
SMa2408	82.37521667	72.17684294	67.42129008
SMa2410	131.8003467	120.8744719	136.8856496
SMa2412	51.07263434	36.52322173	52.09826961
SMa2414	131.8003467	126.9616755	130.7564414
SMa2339	69.195182	96.52565743	98.06733103
SMa2341	87.31772967	93.91685588	114.4118862
SMa2343	390.458527	376.537024	395.3339282
SMa5012	93.907747	75.65524501	89.89505345
SMa5013	65.90017334	62.61123725	51.07673491
SMa2347	194.4055113	155.6584926	169.5747599
SMa2349	11.53253033	23.47921397	28.60297155
SMa2351	44.482617	42.61042535	59.2490125
SMa2353	125.2103293	118.2656704	141.9933231
SMa2355	792.4495844	713.0724242	760.0218155
SMa2357	128.505338	136.5272812	151.1871353
SMa2359	57.66265167	46.08882742	53.11980431
SMa2361	1057.697782	1053.086227	993.9532614
SMa2363	413.5235877	428.7130551	424.9584345
SMa2365	383.8685097	411.3210447	460.7121489
SMa2367	135.0953553	166.0936988	148.1225312
SMa2369	219.1180763	180.8769076	162.424017
SMa2371	612.871612	623.5035709	604.7485414
