gene	Plus_NusA_1	Plus_NusA_2	Plus_NusA_3	Plus_NusA_4	Plus_NusA_5	Plus_NusA_6
BSU22440	1156	721	968	791	734	706
BSU22450	1938	1326	1458	1427	1358	1107
BSU22460	1518	1115	1379	1149	1170	1100
BSU22470	1142	911	989	852	845	677
BSU22480	793	478	569	576	567	471
BSU22490	1024	539	650	817	814	760
BSU22500	297	208	238	217	185	175
BSU22510	1295	698	893	1006	1080	977
BSU22520	820	525	686	598	613	412
BSU22530	313	143	265	186	206	193
BSU22540	3917	2703	2665	3304	3544	2649
BSU22550	3375	2395	2670	3126	3356	2361
BSU22560	2596	1744	1954	2494	2599	2208
BSU22570	114	58	98	76	83	117
BSU22580	1298	589	743	1386	1699	1822
BSU22590	1458	1203	1436	1360	1326	1344
BSU22600	13118	10799	13908	12458	12360	10384
BSU22610	7675	5804	8161	6137	6434	4840
BSU22620	13284	9968	13566	10868	11569	9079
BSU22630	6828	4710	6413	4685	5491	3913
BSU22640	3610	3318	4801	2931	3669	3032
BSU22650	478	262	435	373	390	347
BSU22660	1010	645	888	587	1024	896
BSU22670	2382	1576	2498	1619	2356	2427
BSU22680	3640	2071	3391	2541	4797	4798
BSU22690	7980	5246	6507	5863	6065	4618
BSU22700	5184	3842	4680	3630	3882	3181
BSU22710	5240	3804	4589	3911	3275	2438
BSU22720	594	380	553	502	542	491
BSU22730	4841	3561	3066	4143	4910	4125
BSU22740	4656	3003	3837	2717	2983	2362
BSU22750	2740	1895	2437	1568	1519	1201
BSU22760	3560	1744	2394	1832	2152	1874
BSU22770	1732	1105	1261	1556	1312	1205
BSU22780	3091	2109	2326	2408	2165	1784
BSU22790	26232	21551	21378	28276	33928	39702
BSU22800	235	248	237	196	154	192
BSU22810	4344	2887	3099	3352	3144	2889
BSU22820	766	422	496	532	657	530
BSU22830	3342	2357	3076	2405	2376	1887
BSU22840	3542	2298	3436	2331	2355	1857
BSU22849	14	16	27	14	21	23
BSU22850	54	44	77	54	80	46
BSU22860	36	22	47	38	26	23
BSU22869	24	13	30	20	29	35
BSU22870	5588	4080	4186	4520	4435	3735
BSU22880	20175	14828	16182	16271	18691	14203
BSU22890	2738	1916	1939	1891	1764	1479
BSU22900	120	60	78	96	146	94
BSU22910	622	365	409	592	435	412
BSU22920	164	123	117	143	104	119
BSU22930	16	26	24	14	11	20
BSU22940	1471	935	988	1131	1257	1239
BSU22950	3078	1716	1902	2560	2991	2432
BSU22960	11245	8411	9529	9301	9349	7706
BSU22970	2555	1777	1837	2119	2349	2247
BSU22980	169	120	138	86	123	108
BSU22990	293	183	231	207	210	151
BSU23000	1846	962	1146	1441	1327	1220
BSU23010	933	601	498	683	731	592
BSU23020	2126	1428	1583	1662	1639	1309
BSU23030	823	497	557	708	640	550
BSU23040	3470	1880	2074	3124	4172	3840
BSU23050	833	566	596	513	575	550
BSU23060	1214	1361	1617	1836	1057	1889
BSU23070	26225	17144	21719	22256	22343	17266
BSU23080	845	574	732	593	548	476
BSU23090	5288	2805	2805	3808	4591	3953
BSU23100	2105	1192	1375	1428	1844	1553
BSU23110	2797	1890	2259	2280	2368	1986
BSU23120	1203	893	1057	1000	913	752
BSU23130	1236	976	1090	1088	1005	900
BSU23140	1951	1446	1843	2307	1742	1755
BSU23150	945	677	736	1049	910	841
BSU23160	1291	841	979	1047	1003	886
BSU23170	33	47	35	52	38	48
BSU23180	57	59	80	42	58	47
BSU23190	117	96	54	70	86	82
BSU23200	835	602	692	516	568	408
BSU23210	947	635	733	508	486	399
BSU23220	1095	598	797	627	617	529
BSU23230	261	138	150	170	169	140
BSU23240	2509	1763	1705	1824	2165	2395
BSU23250	593	414	522	399	485	370
BSU23260	1308	824	1123	842	882	823
BSU23270	547	263	352	365	445	359
BSU23280	1511	1016	1062	1082	991	851
BSU_misc_RNA_36	1302	1921	1819	3025	1705	2859
BSU23300	74	64	55	85	56	90
BSU23310	2245	1282	1197	1967	2042	2021
