gene	Plus_NusA_1	Plus_NusA_2	Plus_NusA_3	Plus_NusA_4	Plus_NusA_5	Plus_NusA_6
BSU27040	1557	799	1192	643	636	569
BSU27050	1470	673	970	540	619	489
BSU27060	1145	543	590	529	475	426
BSU27070	982	417	371	427	374	379
BSU27080	807	407	542	652	662	629
BSU27090	597	316	420	409	481	400
BSU27100	466	168	298	319	452	310
BSU27110	442	195	270	347	340	315
BSU27120	3	6	16	11	4	10
BSU27130	27	27	15	26	23	16
BSU27140	237	155	226	193	207	208
BSU27150	30	23	33	31	37	20
BSU27160	850	655	723	912	899	1052
BSU27170	85	60	71	75	69	79
BSU27180	69	30	35	52	122	92
BSU27190	1899	698	755	1388	2694	2357
BSU27200	165	166	199	152	180	149
BSU27210	158	111	164	128	128	102
BSU27220	212	183	257	189	201	159
BSU27230	39	25	37	43	59	37
BSU27240	283	167	215	319	345	354
BSU27250	503	365	448	358	366	315
BSU27260	541	358	542	379	351	304
BSU27270	2612	1903	1926	2206	2345	1941
BSU27280	958	522	493	709	813	716
BSU27290	148	71	94	198	242	330
BSU27300	1361	903	890	1183	1125	1051
BSU27310	244	158	193	241	182	155
BSU27320	3509	2582	2719	2910	2816	2768
BSU27330	1929	1044	1335	1441	1976	1485
BSU27340	3246	2043	2509	2173	2597	1849
BSU27350	1916	1120	1367	1062	1024	833
BSU27360	1151	690	954	626	659	512
BSU27370	2255	1274	1381	1867	1904	1799
BSU27380	2999	1925	1972	3187	3419	3494
BSU27390	2006	1376	1470	1621	1748	1621
BSU27400	1314	873	1152	1002	1044	902
BSU27410	6116	4394	5277	5096	4628	4219
BSU_misc_RNA_40	1996	4022	2887	1925	1121	1946
BSU27420	78	82	72	73	81	58
BSU27430	34	44	63	57	44	69
BSU27440	4	16	24	11	9	19
BSU27450	2	7	13	11	3	14
BSU27460	14	10	16	15	8	17
BSU27468	21	10	24	14	18	10
BSU27469	45	19	30	38	17	24
BSU27470	38	23	35	44	35	43
BSU27480	2101	1555	1731	1653	1624	1419
BSU27490	412	277	290	244	209	217
BSU27500	4720	3256	3580	3417	3557	2668
BSU27510	3616	2631	3191	2213	2214	1608
BSU27520	939	683	882	507	463	373
BSU27530	594	461	396	499	484	415
BSU27540	1831	1344	1402	1111	1121	963
BSU_misc_RNA_41	66014	83566	75928	178822	214379	358836
BSU27550	8396	6459	8154	8583	8413	6805
BSU27560	3695	2778	3194	4757	4127	3386
BSU_misc_RNA_42	5695	5895	5299	6306	3278	4695
BSU27570	88	62	78	72	58	62
BSU27580	9615	7333	6678	9294	8324	6764
BSU27590	1999	1448	1480	1463	1653	1353
BSU27600	11343	8077	9936	8470	8360	6405
BSU27610	3005	2437	2297	2008	2091	1873
BSU27620	6468	4722	5555	4298	4205	3015
BSU27630	367	168	182	198	356	424
BSU27640	749	459	548	579	537	436
BSU27650	12352	8120	9428	10213	11645	9084
BSU27660	899	484	678	907	990	819
BSU27670	226	186	205	160	144	117
BSU27680	31	23	36	28	25	31
BSU27690	38	26	31	23	20	16
BSU27700	4236	3507	2946	3850	4226	4930
BSU27710	4821	3604	3579	3592	3815	3142
BSU27720	2774	1865	2005	1847	2023	1474
BSU27729	183	111	147	85	163	80
BSU27730	1558	1174	1238	1111	1034	858
BSU27740	719	479	504	459	354	439
BSU27750	146	108	145	62	75	86
BSU27760	417	379	416	277	325	298
BSU27770	573	597	762	511	597	514
BSU27785	345	254	242	345	388	413
BSU27800	145	89	94	118	76	75
BSU27809	85	57	58	115	82	109
BSU27810	174	173	179	179	140	138
BSU27820	253	185	188	155	169	177
BSU27830	777	483	512	589	586	533
BSU27840	18013	13283	13300	16435	13766	12740
BSU27850	12056	8496	9763	10525	9658	8242
BSU27860	6165	3950	4912	5493	5117	4363
BSU27870	14347	9460	11057	12068	9999	8822
BSU27880	7844	5605	6189	6967	6049	5213
BSU27890	4732	3308	3053	4513	3469	3253
BSU27900	1967	1389	1636	1561	1508	1450
BSU27910	980	569	648	691	776	575
BSU27920	4567	3270	3994	3205	3561	2522
BSU27930	1628	950	1263	875	1152	862
BSU27940	41349	35170	37658	39007	40903	43385
BSU27950	44039	33929	35438	34497	39630	32394
BSU27960	41891	24562	24905	31887	38060	32108
BSU_misc_RNA_43	7157	4630	4354	6171	5770	5187
BSU27970	85	49	66	64	41	47
BSU27980	55	43	42	37	39	39
BSU27990	4924	3643	4176	3370	3808	3078
BSU28000	4288	2517	2884	2502	3010	2376
BSU28010	1511	752	1012	907	1471	979
BSU28020	5333	3414	4311	3422	3784	2758
BSU28030	5878	4057	4875	3930	3966	3120
BSU28040	1373	935	1203	885	1244	797
BSU28050	1460	775	1088	1069	1328	1013
BSU28060	123	73	85	89	72	66
BSU28070	398	128	212	221	376	229
BSU28080	1554	949	1351	1287	1374	1149
BSU28090	4903	3539	4271	3879	3896	3224
BSU_misc_RNA_44	3641	4339	4342	4262	2760	4331
BSU28099	3	3	11	5	9	11
BSU28100	33	38	33	40	21	34
BSU28110	45	62	50	55	40	69
BSU28120	3895	3026	3007	3468	3455	2846
BSU28130	1444	983	1229	1164	1073	851
BSU28140	685	479	616	526	489	420
BSU28150	706	498	654	708	539	502
BSU28160	504	308	408	459	460	420
BSU28170	1725	1302	1553	2313	2114	1988
BSU28180	262	268	267	270	307	302
BSU28190	2642	2001	2431	1956	2005	1727
BSU28200	6391	4704	4966	5120	5566	4275
BSU28210	53	75	129	103	56	116
BSU28220	17764	12185	13867	12244	14241	11963
BSU28230	34364	22815	28307	22427	28736	20325
BSU28240	1505	884	1099	1073	1003	769
BSU28250	3536	1795	2052	2913	3765	3193
BSU28260	9266	5471	6855	7924	8740	6564
BSU28270	6065	3637	4393	5172	5818	4726
BSU28280	8760	4521	5590	7851	8202	6659
BSU28290	8902	5404	6393	8421	8203	6705
BSU28300	3373	1551	1848	3461	2983	2398
BSU28310	11050	6738	7323	13667	9245	8619
BSU_misc_RNA_45	9182	9782	9611	17095	8695	11051
BSU28320	6	3	14	12	14	4
BSU28330	61	52	48	81	68	70
BSU28340	76	34	50	43	48	69
BSU_tRNA_84	2895	3825	3403	2781	1515	2455
BSU28350	759	567	515	735	737	737
BSU28360	685	480	463	575	588	504
BSU28370	592	413	604	517	492	460
BSU28380	67	97	102	78	76	102
BSU28390	2790	2058	1964	2393	2122	1586
BSU28400	1338	951	1076	916	949	719
BSU28410	180	158	142	190	211	229
BSU28420	350	252	290	302	324	308
BSU28430	8151	6605	6768	7201	6944	6258
BSU28440	13582	9286	10385	10580	10167	8110
BSU28450	2549	1673	2116	2039	2614	2080
BSU28460	909	712	605	903	1033	911
BSU28470	1536	931	1115	1202	1194	907
BSU_misc_RNA_46	4913	9526	9725	7919	4718	8331
BSU28490	1115	847	976	810	911	718
BSU28500	2388	1566	1331	2889	2744	2815
BSU28510	135	102	115	113	111	110
BSU28520	735	616	619	683	632	546
BSU28530	619	455	457	537	455	413
BSU28540	576	375	494	513	497	504
BSU28550	415	325	347	369	340	327
BSU28560	1038	858	1010	887	1125	1047
BSU28570	669	590	694	590	758	591
BSU28580	4039	2886	3087	3173	3290	2734
BSU28590	2556	1643	1975	1829	1699	1402
BSU28600	738	524	580	506	550	603
BSU28610	447	324	422	302	333	304
BSU28620	1043	662	692	923	839	685
BSU28630	5450	3873	4336	4030	4151	3376
BSU28640	1796	1322	1359	1279	1056	752
BSU28650	891	824	882	660	572	576
BSU28660	25	25	24	26	18	25
BSU28670	141	122	174	141	132	145
BSU28680	450	355	393	452	421	299
BSU28690	659	515	343	584	460	479
BSU28700	216	169	175	216	154	176
BSU28710	689	613	659	555	551	496
BSU28720	72	81	112	102	88	87
BSU28730	14	18	41	29	32	36
BSU28740	43	50	64	48	54	45
BSU28750	39	40	73	74	43	62
BSU28760	40	27	52	33	31	33
BSU28770	28	24	28	32	29	17
BSU28780	13	12	25	16	15	13
BSU28790	51	74	103	78	68	70
BSU28800	63	65	64	63	31	67
BSU28810	8	18	36	18	30	21
BSU28820	1637	1519	1443	1501	1495	1305
BSU28830	1432	661	595	1627	2075	2096
BSU28840	465	358	303	385	408	369
BSU28850	18915	11997	13256	12036	18837	16263
BSU28860	15662	9568	11225	9795	13805	10424
BSU28870	26183	15567	18361	17261	21431	16405
BSU_misc_RNA_47	4607	2743	3816	3323	3812	4177
BSU28890	1809	1302	1049	2249	2003	1997
BSU28900	950	589	513	872	1686	1199
BSU28910	379	283	297	462	890	650
BSU28920	574	418	503	432	413	343
BSU28930	1046	718	896	861	759	598
BSU28940	3893	2892	2552	3295	3259	2444
BSU28950	6258	4312	4411	5074	4449	3613
BSU_misc_RNA_48	1316	972	1055	1032	750	772
BSU28960	1056	624	583	739	810	635
BSU28970	756	599	601	561	604	464
BSU28980	814	578	635	599	551	420
BSU28990	828	591	607	538	472	435
BSU29000	600	585	614	624	619	595
BSU29010	5309	3404	3533	3660	4140	3903
BSU29020	216	140	154	153	147	146
BSU29030	130	100	89	109	108	106
BSU29040	144	118	131	117	108	104
BSU29050	126	93	111	89	97	82
BSU29060	684	520	562	603	612	475
BSU29070	658	414	508	464	528	439
BSU29080	1063	725	797	892	758	681
BSU29090	2416	1665	1845	1851	1825	1413
BSU29100	1892	1442	1573	1683	1620	1255
BSU29110	508	414	499	433	410	364
BSU29120	24166	17512	20520	18252	20613	16731
BSU29130	32564	19903	25083	24051	27607	21348
BSU29140	15241	8517	11370	12048	15825	11893
BSU29150	239	231	196	188	214	235
BSU29160	705	431	590	510	614	411
BSU29170	1642	1107	1476	1303	1436	1286
BSU29180	20396	15106	16287	16233	17687	13793
BSU29190	6933	4894	5967	5338	5318	4462
BSU29200	10689	7749	9317	7730	8788	7151
BSU29210	8311	6165	7814	5550	6546	4699
BSU29220	9870	7986	8797	8035	8165	6068
BSU29230	6125	4002	4739	4938	5057	3957
BSU29239	99	50	81	50	33	56
BSU29240	87	51	83	46	58	49
BSU29249	1364	905	857	1704	968	1275
BSU29250	3697	2794	2842	3374	3154	2652
BSU29260	532	421	415	480	447	479
BSU29270	1264	969	1046	1017	930	857
BSU29280	21	35	28	31	24	33
BSU29290	56	134	197	103	95	179
BSU29300	14	18	13	7	23	12
BSU29310	22	26	28	28	21	29
BSU29320	5	2	5	7	1	3
BSU29330	11	17	23	14	11	21
BSU29340	31	51	79	52	29	65
BSU29350	11	21	27	16	10	14
BSU29360	81	80	54	84	83	150
BSU29370	34	34	30	42	53	37
BSU29380	18	20	23	17	11	30
BSU29390	13	8	13	8	8	14
BSU29400	104	43	70	61	65	52
BSU29410	1358	949	940	1249	1111	1022
BSU29420	954	764	763	857	707	658
BSU29430	216	163	134	135	158	159
BSU29440	3089	2416	2948	2674	2455	2181
BSU29450	2215	1479	1945	1879	1726	1775
BSU29460	264	261	240	248	217	201
BSU29470	11656	8444	8704	8250	9947	7588
BSU29480	2636	1981	2055	2022	1970	1609
BSU29490	5021	4363	3940	5245	5018	5557
BSU29500	38	49	62	56	27	51
BSU29510	23	25	25	18	19	18
BSU29520	1695	1147	1401	1379	1634	1313
BSU29530	2630	2024	2227	2505	2289	1947
BSU29540	904	594	553	826	1008	791
BSU29550	2533	1908	2021	2134	2182	1594
BSU29560	1868	1412	1790	1437	1427	1034
BSU29570	378	302	213	351	365	367
BSU29580	1515	954	1201	1020	1110	993
BSU29590	1073	713	909	722	676	564
BSU29600	1785	882	1445	1219	1503	1084
BSU29610	6115	4099	4988	5656	4992	4450
BSU29620	1552	1046	1006	1313	1238	974
BSU29630	1210	695	757	970	1191	970
BSU29640	2590	2272	1878	2263	2372	2113
BSU29650	2682	1969	2625	2148	2255	2038
BSU29660	58773	37868	40475	46564	55182	51207
BSU29670	2253	1550	1718	2059	2086	1593
BSU29679	996	793	862	1533	1006	1495
BSU29680	1324	1095	1021	1058	1084	878
BSU29690	510	337	490	389	364	324
BSU29700	642	509	461	513	506	434
BSU29710	1091	890	751	913	792	704
BSU29720	382	269	368	222	290	238
BSU29730	486	432	411	318	330	232
BSU29740	4372	3529	3278	3398	3154	2697
BSU29750	12043	9061	9478	10755	10818	8518
BSU29760	1439	897	971	1026	1079	1117
BSU29770	2334	1611	1785	1695	1824	1748
BSU29780	1563	861	925	1169	1226	1266
BSU29790	9061	5699	6237	6493	6265	5353
BSU29805	3009	2095	2505	2332	2175	1777
BSU29820	3551	2623	2848	2841	2991	2464
BSU29830	4150	4354	5963	4842	3615	4538
BSU29840	1093	798	799	674	790	558
BSU29850	1003	610	653	973	944	961
BSU29860	1648	1076	1112	1171	1172	986
BSU29870	766	417	460	858	1093	943
BSU29880	2532	2036	2094	2185	2162	1925
BSU29890	939	776	794	769	687	634
BSU29900	2148	1460	1324	1691	1635	1507
BSU29910	743	565	623	372	346	361
BSU29920	1707	1253	1348	1052	762	732
BSU29930	3113	2270	2532	2268	2212	1744
BSU29940	2014	1414	1794	1813	1673	1497
BSU29950	1949	1536	1593	1883	1750	1781
BSU29960	332	262	346	295	306	250
BSU29970	1588	1153	1160	1286	1174	1151
BSU29980	2147	1809	1973	1833	1651	1425
BSU29990	1487	1317	1476	1126	1131	1001
BSU30000	1823	1347	1710	1570	1778	1498
BSU30010	1408	1168	1225	1347	1407	1175
BSU30020	358	142	169	375	619	627
BSU30035	574	445	496	431	395	378
BSU30050	2835	2317	2759	1802	1846	1498
BSU30060	1061	866	932	818	904	737
BSU30070	2482	1806	1941	1896	2081	1726
BSU30080	12	12	10	8	12	10
BSU30090	42	42	86	58	51	74
BSU30100	66	68	81	47	54	35
BSU30110	3	9	12	9	8	13
BSU30120	233	692	1349	678	343	887
BSU30135	6	10	20	14	6	11
BSU30150	135	131	151	186	190	237
BSU30160	112	79	140	116	102	104
BSU30170	25	26	24	37	22	37
BSU30180	4247	3039	3326	3653	3497	3017
BSU30190	4953	3298	3720	3819	3384	2899
BSU30200	14232	10033	11500	11760	11493	10301
BSU30210	10137	7178	7665	7969	8322	6897
BSU30220	23829	15747	18768	18788	19273	15175
BSU30230	24799	17917	20357	20254	20742	17098
BSU30240	16965	11843	12488	14292	16184	12991
BSU30250	67	70	55	91	54	71
BSU30260	101	102	98	108	122	85
BSU30270	122	109	138	90	97	115
BSU30280	66	70	56	33	59	55
BSU30290	58	47	36	53	35	49
BSU30300	424	331	364	349	342	286
BSU30310	928	507	724	979	924	861
BSU30320	7491	5542	5784	5708	5747	4392
BSU_misc_RNA_49	1788	2084	2144	2649	1607	1977
BSU30330	69	56	50	65	39	53
BSU30340	699	469	471	564	719	597
BSU30350	350	274	306	203	267	166
BSU30360	695	444	498	673	718	749
BSU30370	282	262	406	254	295	351
BSU30380	113	76	67	50	59	70
BSU30390	782	452	576	670	704	529
BSU30400	411	333	414	366	336	300
BSU30410	1122	622	729	819	1086	847
BSU30420	510	341	463	384	376	341
BSU30430	495	298	447	312	485	283
BSU30440	474	214	388	259	393	256
BSU30450	476	291	404	314	289	255
BSU30460	205	114	161	133	104	88
BSU30470	118	135	92	147	147	268
BSU30480	1606	1222	1505	1204	1049	723
BSU30490	1553	1164	1093	1338	1098	973
BSU30500	1857	1284	1285	1625	1624	1414
BSU30510	1642	1115	1259	1475	1407	1154
BSU30520	1199	947	1003	1095	1023	946
BSU30530	2666	1842	2432	2195	2486	1732
BSU30540	13054	9057	10241	9500	11542	8890
BSU30550	10314	7061	8011	7480	8005	6399
BSU_misc_RNA_50	2023	1891	2110	1589	1094	1574
BSU30560	746	572	619	614	669	502
BSU30570	475	302	295	442	356	445
BSU30580	251	158	183	257	162	168
BSU30595	50	36	76	62	33	45
BSU30610	110	91	144	69	54	101
BSU30620	128	100	107	67	50	37
BSU30630	781	619	713	640	534	640
BSU30640	6	7	7	5	18	15
BSU30650	2812	1828	1593	3357	4679	5504
BSU30659	309	109	171	277	284	358
BSU30660	395	268	379	411	375	432
BSU30670	2324	1665	1979	1866	1926	1941
BSU30680	447	302	453	267	305	270
BSU30690	772	586	802	620	629	550
BSU30700	102	53	61	123	128	161
BSU30710	159	140	98	86	64	75
BSU30720	389	270	354	210	185	195
BSU30739	93	54	52	51	64	61
BSU30740	12422	9653	9798	8729	10281	7708
BSU30750	16397	11607	13162	11532	12503	9194
BSU30760	9630	6509	7319	6295	6515	5154
BSU30770	11153	8227	9220	7277	6708	5591
BSU30780	757	484	564	627	669	527
BSU30790	1160	786	882	942	992	783
BSU30800	10536	8440	8523	9997	10057	9674
BSU30810	1745	1412	1350	1778	1591	1691
BSU30820	2336	1812	2028	2231	2042	1680
BSU30830	2276	1552	2057	1551	1549	1233
BSU30840	22	15	34	30	26	34
BSU30850	30	48	30	39	29	24
BSU30860	16	29	25	22	15	33
BSU30870	12	14	29	23	16	16
BSU30880	18	13	21	19	19	21
BSU30890	24	29	44	26	22	29
BSU30900	45	73	98	77	59	90
BSU30910	32	38	45	39	26	44
BSU30920	33	76	136	71	48	84
BSU30930	13	13	7	3	24	25
BSU30940	131	169	185	117	133	169
BSU30950	61	68	121	65	58	57
BSU30960	49	23	38	32	23	31
BSU30970	23	36	46	31	27	42
BSU30980	34	44	52	31	69	52
BSU_tRNA_72	1488	1211	1382	2329	1567	2461
BSU_tRNA_71	16152	38107	67578	61509	30934	74781
BSU_tRNA_70	7161	12001	10906	7657	4818	8517
BSU_tRNA_69	5744	8000	7774	4436	2809	4472
BSU_tRNA_68	12400	25693	49732	33847	18738	37331
BSU_tRNA_67	4453	7259	10200	7777	4887	8823
BSU_tRNA_66	2826	2819	2229	1887	1166	1603
BSU_tRNA_65	8501	18692	35186	28699	11133	25330
BSU_tRNA_64	10047	18067	20979	11937	6650	10686
BSU_tRNA_63	35584	85763	131299	170981	62104	169724
BSU_tRNA_62	4224	4198	3796	3283	1976	3476
BSU_tRNA_61	11441	18887	45702	46531	14307	37031
BSU_tRNA_60	2981	4107	3673	3068	1779	3087
BSU_tRNA_59	2146	1548	1434	1574	1087	1443
BSU_tRNA_58	1867	1786	1601	1084	862	961
BSU_tRNA_57	2891	3408	3046	2657	1753	2359
BSU_tRNA_56	6250	4021	3584	6551	3586	5329
BSU_tRNA_55	12386	21102	33013	36607	16963	42385
BSU_tRNA_54	3675	2263	1643	3286	2495	4496
BSU_tRNA_53	8455	9454	12114	10249	5503	9452
BSU_tRNA_52	2989	1961	1871	3335	1323	2941
BSU_rRNA_21	171	170	97	176	97	223
BSU_rRNA_20	762	298	340	288	344	319
BSU_rRNA_19	495	206	223	195	183	216
BSU_misc_RNA_51	728	838	883	798	670	928
BSU30990	4596	2708	3089	3379	4688	4030
BSU31000	638	493	564	510	565	477
BSU31010	1662	976	1460	1455	1364	1180
BSU31020	583	323	443	563	578	576
BSU31030	475	414	347	515	540	514
BSU31040	989	683	732	927	976	783
BSU31050	133	171	199	127	116	108
BSU31060	47	77	88	53	57	80
BSU31070	434	304	325	355	355	300
BSU31080	1583	724	762	1258	1522	1483
BSU_misc_RNA_52	231	382	322	347	201	409
BSU31090	182	104	102	131	140	104
BSU31100	467	276	344	298	362	285
BSU31110	2497	1787	2107	2432	3928	4304
BSU31120	779	526	638	595	733	577
BSU31130	593	544	678	587	562	575
BSU31140	254	152	199	86	66	77
BSU_tRNA_86	1373	1777	2286	1992	886	1538
BSU31150	1398	961	1013	975	1234	1001
BSU31160	1289	799	907	1224	1355	1092
BSU31170	1765	1304	1206	1640	1535	1298
BSU31180	119	106	141	106	113	88
BSU31190	25	20	14	28	24	21
BSU31200	232	152	204	172	232	204
BSU31210	159	141	133	164	159	134
BSU31220	175	192	177	148	152	205
BSU31230	3468	2334	2389	3301	3569	2838
BSU31240	15720	10835	10437	14348	15450	13582
BSU31250	5181	3081	3251	4280	4837	4080
BSU31260	10798	7351	8268	10703	11488	10378
BSU31270	82	42	59	74	82	86
BSU31279	80	95	69	117	78	111
BSU31280	126	124	128	116	135	110
BSU31290	223	215	156	247	169	185
BSU31300	186	259	432	260	202	329
BSU31310	466	580	659	625	606	578
BSU31319	3	6	6	4	20	9
BSU31321	10	17	31	13	14	12
BSU31322	111	88	77	95	90	95
BSU31330	262	185	230	261	267	260
BSU31340	265	131	173	228	331	237
BSU31350	12035	9158	9350	10047	11701	9319
BSU31360	1600	1094	1243	1515	1715	1386
BSU31370	4093	3254	2986	3755	4040	3241
BSU31380	124	66	96	75	113	71
BSU31390	9959	4912	4829	6262	8924	8355
BSU31400	5958	4784	5269	5099	5355	4280
BSU31410	1879	1286	1500	1430	1658	1322
BSU31420	155	112	104	127	83	106
BSU31430	283	340	343	377	332	399
BSU31440	1230	910	922	1250	1189	1012
BSU31450	346	202	294	334	322	324
BSU31460	434	295	250	396	457	434
BSU31470	116	63	127	82	98	96
BSU31480	199	101	162	145	171	149
BSU31490	5394	3317	3833	3947	3943	2837
BSU31500	1918	1402	1398	1594	1441	1366
BSU31510	1131	516	880	771	1341	1183
BSU31520	1304	965	1024	1066	1056	997
BSU31530	1185	648	623	879	1103	932
BSU31540	84	66	72	166	103	96
BSU31550	67	61	81	93	79	84
BSU31560	58	50	112	99	59	80
BSU31570	79	34	74	37	74	49
BSU31580	194	162	149	163	154	145
BSU31590	5	14	6	4	6	10
BSU31600	1954	1224	1540	1653	2070	1651
BSU31610	337	201	247	253	298	187
BSU31620	301	179	149	169	261	220
BSU31630	1314	862	1128	1014	1178	898
BSU31640	492	258	409	414	567	444
BSU31650	291	254	269	272	261	218
BSU31660	452	316	375	337	461	382
BSU31670	908	752	752	762	699	654
BSU31680	1603	1071	1168	1286	1260	1036
BSU31690	3764	1963	2900	2460	3626	2632
BSU31700	152	82	156	103	215	141
BSU31710	556	264	483	341	680	507
BSU31720	29	9	24	24	64	50
BSU31730	363	341	263	349	312	252
BSU31740	1210	1003	886	1192	1331	1294
BSU31750	5060	3773	3904	4782	5466	3882
BSU31760	1581	1087	1187	1295	1370	1075
BSU31770	563	432	476	494	372	340
BSU31780	303	243	243	279	258	174
BSU31790	525	487	536	429	530	453
BSU31800	1792	1299	1469	1457	1722	1235
BSU31810	382	216	281	307	308	336
BSU31820	596	661	909	770	681	861
BSU31830	831	567	498	947	828	736
BSU31840	1803	1452	1468	1693	1564	1506
BSU31850	677	435	521	503	551	400
BSU31860	3912	2918	3765	3268	3480	3494
BSU31875	3979	2768	3342	2611	3031	2473
BSU31890	1208	791	979	881	884	700
BSU31900	212	203	201	145	171	119
BSU31910	8506	6506	5178	8768	10793	11583
BSU31920	648	429	409	535	596	526
BSU31930	23894	19293	16339	23346	19263	17005
BSU31945	778	522	568	695	670	651
BSU31959	11903	7964	7551	9607	12096	9870
BSU31960	325150	241425	248819	269029	286569	221126
BSU31970	39552	27281	30377	32909	38086	28161
BSU31980	63694	52285	52765	53473	53898	45681
BSU31990	63471	49215	50392	55257	51895	42386
BSU32000	33725	23976	25466	27821	28177	22032
BSU32010	17706	13015	14410	16112	14349	12424
BSU32020	279	174	178	190	206	177
BSU32030	24956	17678	12942	25685	25830	25764
BSU32040	3348	2673	2785	802	740	658
BSU32050	2586	1945	2026	2475	2475	1962
BSU32060	532	294	371	420	445	470
BSU32070	430	327	330	352	323	321
BSU32080	559	351	387	705	740	757
BSU32090	333	195	141	1107	600	787
BSU32100	307	170	181	223	209	164
BSU32110	9641	8060	7161	9226	8092	6692
BSU32120	109	50	41	86	103	92
BSU32130	686	433	457	581	619	506
BSU32140	89	57	73	66	136	84
BSU32150	26	21	18	31	52	33
BSU32160	2340	1899	1497	2158	2116	2245
BSU32170	1083	841	936	981	883	731
BSU32180	530	424	542	254	396	421
BSU32190	255	382	384	390	321	501
BSU32200	2315	1828	1848	2081	1762	1461
BSU32210	290	173	175	220	273	200
BSU32220	5007	3792	4062	5580	5319	6630
BSU32230	940	616	606	825	728	759
BSU32240	24010	16402	18185	19760	21205	17392
BSU32250	24928	14837	16932	19648	20313	15972
BSU32260	19661	13342	15413	14914	12490	10579
BSU32270	139	89	132	133	148	152
BSU32280	49	21	36	34	33	25
BSU32290	2776	2012	1776	2555	2501	2221
BSU32300	1494	965	989	1109	1218	907
BSU32310	876	440	675	659	823	676
BSU32320	577	411	480	391	453	364
BSU32330	6972	4893	4845	6207	5741	5007
BSU32340	141	131	127	141	133	144
BSU32350	253	232	317	232	198	210
BSU32360	525	303	394	486	367	355
BSU32370	2206	1728	1771	1750	1651	1368
BSU32380	822	738	922	803	812	543
BSU32390	898	605	695	854	790	765
BSU32400	263	485	863	583	371	687
BSU32410	104	135	197	165	111	122
BSU32420	196	183	138	169	184	133
BSU32430	106	91	105	94	63	79
BSU32440	63	50	78	69	60	54
BSU32450	105	73	159	114	108	121
BSU32460	61	65	44	50	39	63
BSU32469	7	4	6	5	8	10
BSU32470	7	19	8	13	14	17
BSU32480	56	74	108	86	36	65
BSU32490	12	38	25	22	15	24
BSU32500	8	8	16	13	12	14
BSU32510	16	17	26	16	11	14
BSU32520	156	196	201	220	110	150
BSU32530	94	102	129	150	71	98
BSU32540	468	455	358	520	443	361
BSU32550	192	151	199	136	196	144
BSU32560	615	415	441	571	535	462
BSU32570	123	119	112	134	93	121
BSU32580	7	15	16	15	6	17
BSU32590	4	18	25	20	18	34
BSU32600	25	29	57	62	30	63
BSU32610	85	72	106	146	145	123
BSU32620	850	519	632	676	746	705
BSU32630	1172	1050	1072	1011	973	785
BSU32640	57	33	87	30	34	26
BSU32650	90	65	80	52	88	54
BSU32660	857	540	661	777	828	710
BSU32669	549	311	334	498	501	386
BSU32670	24379	14430	16430	19987	25556	19221
BSU32680	6355	3530	4625	4693	6328	4227
BSU32690	14264	9323	11611	11582	13293	9812
BSU32700	16798	9637	12314	14218	15804	12184
BSU32710	8442	5013	6295	6938	7129	5401
BSU32719	820	705	604	1156	975	1115
BSU32720	39	20	15	16	25	29
BSU32730	4625	2771	3110	3667	5107	4219
BSU32740	1397	1005	1435	1143	1516	1031
BSU32750	1981	1152	1456	1354	1688	1415
BSU_misc_RNA_53	2319	1840	1694	4592	3584	7895
BSU32760	411	251	313	230	222	215
BSU32770	266	130	176	189	212	204
BSU32780	875	553	760	599	515	509
BSU32790	2200	1477	1532	2295	2290	2161
BSU32800	5140	3739	3498	5441	5477	4640
BSU32810	825	554	565	631	663	465
BSU32820	223	227	185	219	220	219
BSU32830	100	88	89	100	95	93
BSU32840	124	168	176	126	135	160
BSU32849	5	4	2	4	7	2
BSU32850	7	18	19	17	21	16
BSU32859	6	7	11	2	5	7
BSU32860	19	17	9	10	20	20
BSU32870	275	194	274	179	204	166
BSU32880	1086	725	1037	860	908	770
BSU32890	35	21	22	22	30	22
BSU32900	30	19	44	46	20	36
BSU32910	27	12	30	27	16	26
BSU32920	318	276	236	263	247	270
BSU32930	1103	1028	1224	1102	795	1170
BSU32940	11231	9420	8767	9301	7351	7727
BSU32950	36	31	34	37	40	24
BSU32980	304	271	270	256	235	204
BSU32990	1147	599	1084	1121	1943	1816
BSU33000	2251	1774	1586	1751	1723	1481
BSU33010	573	431	444	447	534	434
BSU33020	1584	861	947	1246	1517	1352
BSU33029	276	155	204	233	271	279
BSU33030	1370	852	1025	1082	1191	1111
BSU33040	11340	9251	9506	9566	9825	7729
BSU33049	393	158	399	286	396	368
BSU33050	281	188	291	203	210	193
BSU33060	339	206	286	219	193	169
BSU33070	453	319	391	293	324	258
BSU33080	404	414	488	398	343	283
BSU33090	907	667	813	646	640	504
BSU33100	615	371	454	461	448	381
BSU33110	812	567	696	698	687	456
BSU33120	289	209	195	346	293	292
BSU33130	97	120	118	142	147	127
BSU33140	941	643	697	829	908	902
BSU33150	389	342	310	346	356	226
BSU33160	976	676	755	794	738	541
BSU33170	818	648	713	686	635	541
BSU33180	1860	1279	1556	1553	1652	1432
BSU33190	896	677	590	976	922	827
BSU33200	1096	879	775	868	884	755
BSU33210	1918	1278	1535	1568	1531	1175
BSU33221	420	349	377	357	378	333
BSU33222	17	4	10	11	12	10
BSU33230	29	17	14	16	17	18
BSU33239	15	9	21	9	10	4
